asymmetric_NFA,asymmetric_smi,num_reports_asym,asym_med_PCE,symmetric_NFA,symmetric_smi,sym_med_PCE,num_reports_sym,donor,type,difference
PT2IC-4Cl,N#C/C(C#N)=C(C1=C(C2=O)C=C(Cl)C(Cl)=C1)\C2=C\C(S3)=CC4=C3C5=C(N4CC(CC)CCCC)C6=C(S5)C7=C(N6CC(CCCC)CCCCCC)C8=C(C9=NSN=C97)C%10=C(N8CC(CCCC)CCCCCC)C%11=C(C(CCCCCCCCCCC)=C(/C=C(C(C%12=CC(Cl)=C(C=C%12%13)Cl)=O)/C%13=C(C#N)/C#N)S%11)S%10,1,12.51,Y7-BO,N#C/C(C#N)=C1C(C(C2=CC(Cl)=C(Cl)C=C2/1)=O)=CC3=C(C4=C(S3)C(N(C5=C6C7=NSN=C7C8=C5N(C9=C8SC%10=C9SC(C=C%11C(C%12=CC(Cl)=C(Cl)C=C%12/C%11=C(C#N)/C#N)=O)=C%10CCCCCCCCCCC)CC(CCCC)CCCCCC)CC(CCCC)CCCCCC)=C6S4)CCCCCCCCCCC,16.55,4,PM6,core,-4.04
BTDTP-4F,N#C/C(C#N)=C(C1=C(C2=O)C=C(F)C(F)=C1)\C2=C\C(S3)=CC4=C3C5=C(N4CC(CC)CCCC)C6=C(S5)C7=C(N6CC(CCCC)CCCCCC)C8=C(C9=NSN=C97)C%10=C(N8CC(CCCC)CCCCCC)C%11=C(C(CCCCCCCCCCC)=C(/C=C(C(C%12=CC(F)=C(C=C%12%13)F)=O)/C%13=C(C#N)/C#N)S%11)S%10,1,12.79,BTP-4F-12,N#C/C(C#N)=C1C(C(C2=CC(F)=C(C=C2\1)F)=O)=CC3=C(CCCCCCCCCCC)C(SC4=C5N(CC(CCCCCC)CCCC)C6=C4C7=NSN=C7C8=C6N(CC(CCCCCC)CCCC)C9=C8SC%10=C9SC(C=C%11C(C%12=CC(F)=C(C=C%12/C%11=C(C#N)/C#N)F)=O)=C%10CCCCCCCCCCC)=C5S3,16.5,10,PM6,core,-3.71
BTSe-4F,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=CC(N4CC(CC)CCCC)=C([Se]3)C5=C4C(N(CC(CC)CCCC)C6=C7SC8=C6SC(/C=C9C(C(C=C(F)C(F)=C%10)=C%10C\9=C(C#N)/C#N)=O)=C8CCCCCCCCCCC)=C7C%11=NSN=C%115,1,13.52,Y6,N#CC(C#N)=C1C(=CC=2SC3=C(SC=4C=5C6=NSN=C6C=7C=8SC9=C(SC(C=C%10C(=O)C%11=CC(F)=C(F)C=C%11C%10=C(C#N)C#N)=C9CCCCCCCCCCC)C8N(C7C5N(C34)CC(CC)CCCC)CC(CC)CCCC)C2CCCCCCCCCCC)C(=O)C%12=CC(F)=C(F)C=C%121,15.6,40,PM6,core,-2.08
Y21,N#C/C(C#N)=C1C(C(C2=CC(F)=C(C=C2\1)F)=O)=CC3=C(CCCCCC)C(SC4=C5N(CC(CCCC)CC)C6=C4C7=NN(CC(CCCC)CC)N=C7C8=C6N(CC(CCCC)CC)C9=C8SC(C=C%10C(C%11=CC(F)=C(C=C%11/C%10=C(C#N)/C#N)F)=O)=C9)=C5S3,1,15.2,BTA-C8,N#CC(C#N)=C1C(=CC=2SC3=C(SC=4C=5C6=NN(N=C6C=7C=8SC9=C(SC(C=C%10C(=O)C%11=CC(F)=C(F)C=C%11C%10=C(C#N)C#N)=C9CCCCCC)C8N(C7C5N(C34)CC(CC)CCCC)CC(CC)CCCC)CC(CC)CCCC)C2CCCCCC)C(=O)C%12=CC(F)=C(F)C=C%121,16.27,3,PM6,core,-1.07
Y22,N#CC(C#N)=C1C(=CC=2SC3=C(SC=4C=5C6=NN(N=C6C=7C=8SC(C=C9C(=O)C%10=CC(F)=C(F)C=C%10C9=C(C#N)C#N)=C(C8N(C7C5N(C34)CC(CC)CCCC)CC(CC)CCCC)CCCCCC)CC(CC)CCCC)C2CCCCCC)C(=O)C%11=CC(F)=C(F)C=C%111,1,15.4,BTA-C8,N#CC(C#N)=C1C(=CC=2SC3=C(SC=4C=5C6=NN(N=C6C=7C=8SC9=C(SC(C=C%10C(=O)C%11=CC(F)=C(F)C=C%11C%10=C(C#N)C#N)=C9CCCCCC)C8N(C7C5N(C34)CC(CC)CCCC)CC(CC)CCCC)CC(CC)CCCC)C2CCCCCC)C(=O)C%12=CC(F)=C(F)C=C%121,16.27,3,PM6,core,-0.87
BP5T-4F,N#C/C(C#N)=C(C1=C(C2=O)C=C(F)C(F)=C1)\C2=C\C(S3)=C(CCCCCCCCC)C4=C3C5=C(S4)C6=C(S5)C7=C(N6CC(CCCC)CCCCCC)C8=C(C9=NSN=C97)C%10=C(N8CC(CCCC)CCCCCC)C%11=C(C(CCCCCCCCC)=C(/C=C(C(C%12=CC(F)=C(C=C%12%13)F)=O)/C%13=C(C#N)/C#N)S%11)S%10,1,16.4,BP4T-4F,N#C/C(C#N)=C1C(C(C2=CC(F)=C(C=C2\1)F)=O)=CC3=C(CCCCCCCCC)C(SC4=C5N(CC(CCCC)CCCCCC)C6=C4C7=NSN=C7C8=C6N(CC(CCCCCC)CCCC)C9=C8SC%10=C9SC(C=C%11C(C%12=CC(F)=C(C=C%12/C%11=C(C#N)/C#N)F)=O)=C%10CCCCCCCCC)=C5S3,16.8,1,PM6,core,-0.4
BTN-4F,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=CC(N4CC(CC)CCCC)=C(N3C)C5=C4C(N(CC(CC)CCCC)C6=C7SC8=C6SC(/C=C9C(C(C=C(F)C(F)=C%10)=C%10C\9=C(C#N)/C#N)=O)=C8CCCCCCCCCCC)=C7C%11=NSN=C%115,1,15.4,Y6,N#CC(C#N)=C1C(=CC=2SC3=C(SC=4C=5C6=NSN=C6C=7C=8SC9=C(SC(C=C%10C(=O)C%11=CC(F)=C(F)C=C%11C%10=C(C#N)C#N)=C9CCCCCCCCCCC)C8N(C7C5N(C34)CC(CC)CCCC)CC(CC)CCCC)C2CCCCCCCCCCC)C(=O)C%12=CC(F)=C(F)C=C%121,15.6,40,PM6,core,-0.2
AY6,O=C1C2=CC(F)=C(C=C2C(/C1=C/C3=C(CCCCCCCCCCC)C(SC4=C5N(C6=C4C7=NSN=C7C8=C6N(C9=C8SC(/C=C%10/C(C%11=C(C=C(F)C(F)=C%11)C%10=O)=C(C#N)\C#N)=C9CCCCCC)CC(CC)CCCC)CC(CC)CCCC)=C5S3)=C(C#N)\C#N)F,1,15.5,Y6,N#CC(C#N)=C1C(=CC=2SC3=C(SC=4C=5C6=NSN=C6C=7C=8SC9=C(SC(C=C%10C(=O)C%11=CC(F)=C(F)C=C%11C%10=C(C#N)C#N)=C9CCCCCCCCCCC)C8N(C7C5N(C34)CC(CC)CCCC)CC(CC)CCCC)C2CCCCCCCCCCC)C(=O)C%12=CC(F)=C(F)C=C%121,15.6,40,PBDB-TF,core,-0.1
BS3TSe-4F,O=C1C2=CC(F)=C(C=C2C(/C1=C/C3=C(CCCCCCCCC)C(SC4=C5N(C6=C4C7=N[Se]N=C7C8=C6N(C9=C8SC%10=C9[Se]C(/C=C%11/C(C%12=C(C%11=O)C=C(F)C(F)=C%12)=C(C#N)\C#N)=C%10CCCCCCCCC)CC(CCCC)CCCCCC)CC(CCCC)CCCCCC)=C5S3)=C(C#N)\C#N)F,1,18.14,S9TBO-F,O=C1C2=CC(F)=C(C=C2C(/C1=C/C3=C(CCCCCCCCC)C(SC4=C5N(C6=C4C7=N[Se]N=C7C8=C6N(C9=C8SC%10=C9SC(/C=C%11/C(C%12=C(C%11=O)C=C(F)C(F)=C%12)=C(C#N)\C#N)=C%10CCCCCCCCC)CC(CCCC)CCCCCC)CC(CCCC)CCCCCC)=C5S3)=C(C#N)\C#N)F,17.64,1,D18,core,0.5
A-WSSe-Cl,N#C/C(C#N)=C1C(C(C2=CC(Cl)=C(C=C2\1)Cl)=O)=CC3=C(CCCCCCCCCCC)C(SC4=C5N(CC(CCCCCC)CCCC)C6=C4C7=NSN=C7C8=C6N(CC(CCCCCC)CCCC)C9=C8SC%10=C9[Se]C(C=C%11C(C%12=CC(Cl)=C(C=C%12/C%11=C(C#N)\C#N)Cl)=O)=C%10CCCCCCCCCCC)=C5S3,1,17.36,Y7-BO,N#C/C(C#N)=C1C(C(C2=CC(Cl)=C(Cl)C=C2/1)=O)=CC3=C(C4=C(S3)C(N(C5=C6C7=NSN=C7C8=C5N(C9=C8SC%10=C9SC(C=C%11C(C%12=CC(Cl)=C(Cl)C=C%12/C%11=C(C#N)/C#N)=O)=C%10CCCCCCCCCCC)CC(CCCC)CCCCCC)CC(CCCC)CCCCCC)=C6S4)CCCCCCCCCCC,16.55,4,PM6,core,0.81
