medium_branched_NFA_name,medium_branched_PCE,medium_branched_sidechain,other_length_NFA_name,other_length_PCE,other_length_sidechain,donor,location,class,difference
IPTBO-4F,14.6,BO,IDTP-4F,14.31,EH,PM6,C-ring_core,fused,0.29
M4,14.3,O-BO,M2,10.87,O-EH,PM6,benzene_core,fused,3.43
M36,15.8,O-BO,M34,14.89,O-EH,PM6,benzene_core,fused,0.91
4TC-4F-C8C8,14.45,C8C8,4TC-4F-C10C10,10.62,C10C10,PM6,N_ring,fused,3.83
4TC-4F-C8C8,14.45,C8C8,4TC-4F-C6C6,12.74,C6C6,PM6,N_ring,fused,1.71
4TC-4F-C8C8,14.45,C8C8,CZTT-4F,11.95,EH,PM6,N_ring,fused,2.5
4TC-4F-C8C8,11.43,C8C8,4TC-4F-C6C8,2.17,HD,PBTIBDTT,N_ring,fused,9.26
BO-4Cl,16.6,BO,BTP-4Cl,15.72,EH,PM6,inner_chain,y,0.88
BO-4Cl,16.6,BO,HD-4Cl,15.4,HD,PM6,inner_chain,y,1.2
BT6IC-BO-4Cl,14.06,BO,BT6IC-HD-4Cl,14.47,HD,PM6,inner_chain,y,-0.41
BT6IC-BO-4Cl,14.06,BO,BT6Ic-OD-4Cl,9.36,OD,PM6,inner_chain,y,4.7
BTP-eC9,17.3,BO,BTP-4Cl-C9-20,15.5,OD,PM6,inner_chain,y,1.8
BTP-eC9,17.3,BO,BTP-4Cl-C9-16,17.9,HD,PM6,inner_chain,y,-0.6
BTP1O-4Cl-C12,16.7,BO,BTP1O-4Cl-C8,14.4,EH,PM6,inner_chain,y,2.3
BTP1O-4Cl-C12,16.7,BO,BTP1O-4Cl-C10,16.1,C3C7,PM6,inner_chain,y,0.6
BTP2O-4Cl-C12,15.3,BO,HDO-4Cl,15.2,HD,PM6,inner_chain,y,0.1
BO-4F,16.54,BO,Y6,15.6,EH,PM6,inner_chain,y,0.94
L8-BO,18.21,BO,L8-HD,17.09,HD,PM6,outer_chain,y,1.12
L8-BO,18.21,BO,L8-OD,15.93,OD,PM6,outer_chain,y,2.28
Y6-BO,13.4,BO,Y6,2.7,EH,P4T2F-HD,inner_chain,y,10.7
Y6-BO,15.4,BO,Y6,15.8,EH,P5TCN-2F,inner_chain,y,-0.4
BTP-4F-12,15.9,BO,BTP-4F,16.18,EH,PM6,inner_chain,y,-0.28
S9TBO-F,17.64,BO,Y6-Se,17.5,EH,D18,inner_chain,y,0.14
BTIC-BO-4Br,13.9,BO,BTIC-4Br,11.98,EH,PM6,inner_chain,y,1.92
Y-Cl,14.31,BO,BTIC-Cl-m,12.89,EH,PM6,inner_chain,y,1.42
BTP-C4C6-N,11.9,BO,BTP-C2C4-N,10.15,EH,PM6,inner_chain,y,1.75
BTP-C4C6-N,11.9,BO,BTP-C6C8-N,11.8,HD,PM6,inner_chain,y,0.1
BT-BO-L4F,16.3,BO,BT-L4F,9,EH,PM6,inner_chain,y,7.3
Y-Cl,14.31,BO,BTP-2Cl-delta,15,EH,PM6,inner_chain,y,-0.69
QCIC3,10.3,BO,QCIC2,9.03,EH,PBDB-T,3ring_thio_pentane_thio,unfused,1.27
C6C4-4F,12.1,BO,TPD-IC4F,10.44,HD,PM6,2ring_ONO_thiophene,unfused,1.66
C6C4-4F,12.1,BO,TPDC-4F,13.2,EH,PM6,2ring_ONO_thiophene,unfused,-1.1
BDDBO-4F,9.65,BO,BDD-IC4F,12.35,EH,PM6,3ring_SOOS,unfused,-2.7
