F_NFA_name,F_PCE,Cl_name,Cl_PCE,donor,donor_type,class,difference
IT-4F,9.62,ITIC-Cl4,9.1,PBDB-T,nonhalogenated,fused,0.52
IT-4F,11.67,IT-4Cl,12.39,PM6,fluorinated,fused,-0.72
DTTSiC-4F,11.3,DTTSiC-4Cl,11.6,PM6,fluorinated,fused,-0.3
IT-4F,13.98,IT-4Cl,13.2,PBDB-T-2Cl,chlorinated,fused,0.78
IPTBO-4F,14.6,IPTBO-4Cl,15,PM6,fluorinated,fused,-0.4
N3,15.9,N3-4Cl,16.5,PM6,fluorinated,fused,-0.6
IE-4F,10.6,IE-4Cl,10.9,PBDB-T,nonhalogenated,fused,-0.3
IE-4F,9.1,IE-4Cl,9.5,PM6,fluorinated,fused,-0.4
IEICO-4F,8.48,IEICO-4Cl,9.43,PBDB-T,nonhalogenated,fused,-0.95
IEICO-4F,10,IEICO-4Cl,10,PTB7-Th,fluorinated,fused,0
IEICO-4F,9.3,IEICO-4Cl,9.65,J52,fluorinated,fused,-0.35
TT-FIC,10.8,3TT-CIC,11.69,PTB7-Th,fluorinated,fused,-0.89
FO-2F,14.69,FO-2Cl,14.79,PM6,fluorinated,fused,-0.1
TRID-4F,11.95,SeTIC,10.04,PM6,fluorinated,fused,1.91
NTTIC-F,10.6,NTTIC-Cl,10.5,J71,fluorinated,fused,0.1
i-IDSe-4F,11.66,i-IDSe-4Cl,12.05,PBDB-T,nonhalogenated,fused,-0.39
IPT-4F,14.89,IPT-4Cl,14.3,PBDB-T,nonhalogenated,fused,0.59
IPIC-4F,10.7,IPIC-4Cl,13,PBDB-T,nonhalogenated,fused,-2.3
DTTC-4F,13.6,DTTC-4Cl,15,PM6,fluorinated,fused,-1.4
Y6,2.09,BTP-4Cl,0.99,P3HT,nonhalogenated,y,1.1
Y6,15.6,Y6-4Cl,15.72,PM6,fluorinated,y,-0.12
QIP-4F,12,QIP-4Cl,13.1,P2F-Ehp,fluorinated,y,-1.1
A2,15.25,A1,12.92,PBDT-Cl,chlorinated,y,2.33
A4,16.87,A3,16.38,PBDT-Cl,chlorinated,y,0.49
BP4T-4F,16.8,BTP-eC9,17.3,PM6,fluorinated,y,-0.5
Y6-1O,15.4,BTP1O-4Cl-C8,14.4,PM6,fluorinated,y,1
Y6-BO,16.5,Y7-BO,16.57,PM6,fluorinated,y,-0.07
MS-4F,11.67,MS-4Cl,11.51,PBDB-T,nonhalogenated,y,0.16
BTDTP-4F,12.79,PT2IC-4Cl,12.51,PM6,fluorinated,y,0.28
DTBTzMe-IC2F,11.72,DTBTzMe-IC2Cl,12.07,PBDB-T,nonhalogenated,y,-0.35
Y18,16.3,Y19,12.76,PM6,fluorinated,y,3.54
Y6-eC6-BO,17.07,BT6IC-BO-4Cl,14.06,PM6,fluorinated,y,3.01
TPQ-F,13.5,TPQ-Cl,13.28,PM6,fluorinated,y,0.22
BTP-4F-C6-16,17.3,BT6IC-HD-4Cl,14.47,PM6,fluorinated,y,2.83
BTIC-4EO-4F,10.27,BTIC-4EO-4Cl,10.85,PM6,fluorinated,y,-0.58
DTBCIC-F,11.66,DTBCIC-Cl,12.71,PM6,fluorinated,y,-1.05
PhO4T-1,9.52,PhO4T-2,11.79,PBDB-T,nonhalogenated,unfused,-2.27
DTS26-IT-4F,10.6,DTS26-IT-4Cl,10.7,PM6,fluorinated,unfused,-0.1
PTB4F,6.76,PTB4Cl,12.47,PM6,fluorinated,unfused,-5.71
QCIC-1,8.25,QCIC2,9.03,PBDB-T,nonhalogenated,unfused,-0.78
TR2F-IC4F,8.43,Triazole-4Cl,10.31,PBDB-T,nonhalogenated,unfused,-1.88
BT-4F,7,BTCIC-4Cl,10.1,PBDB-T,nonhalogenated,unfused,-3.1
BT-F,8.26,BT-Cl,8.65,PTQ-10,fluorinated,unfused,-0.39
UF-Qx-2F,10.37,UF-Qx-2Cl,10.57,J52,fluorinated,unfused,-0.2
BCDT-4F,10.3,BCDT-4Cl,11.61,PBDB-T,nonhalogenated,unfused,-1.31
C8-4F,11.5,C8-4Cl,11.2,PM6,fluorinated,unfused,0.3
C6C4-4F,12.1,C6C4-4Cl,12.2,PM6,fluorinated,unfused,-0.1
C8C8-4F,13,C8C8-4Cl,14.01,PM6,fluorinated,unfused,-1.01
CPDT-4F,9.29,CPDT-4Cl,9.13,PBDB-T,nonhalogenated,unfused,0.16
