nonhalogenated_NFA_name,nonhalogenated_PCE,halogenated_name,halogenated_PCE,halogenation_detailed,halogenation,donor,donor_type,class,difference
ITIC,9.96,IT-4F,9.62,4F,fluorinated,PBDB-T,nonhalogenated,fused,-0.34
ITIC,9.96,ITIC-Cl4,9.1,4Cl,chlorinated,PBDB-T,nonhalogenated,fused,-0.86
ITIC,9.96,a-IT-2F,9.97,2F same,fluorinated,PBDB-T,nonhalogenated,fused,0.01
ITIC,6.8,ITIC3,8.24,2F opposite,fluorinated,PTB7-Th,fluorinated,fused,1.44
ITIC,6.8,ITIC4,8.44,4F,fluorinated,PTB7-Th,fluorinated,fused,1.64
ITIC,10.9,IT-4F,9.1,4F,fluorinated,J52-2Cl,F and Cl,fused,-1.8
IDT2Se,9.1,IDT2Se-4F,11,4F,fluorinated,PBDB-T,nonhalogenated,fused,1.9
YITI-0F,8.7,YITI-4F,6.5,4F,fluorinated,PBDB-T,nonhalogenated,fused,-2.2
YITI-0F,8.7,YITI-2F,10,2F opposite,fluorinated,PBDB-T,nonhalogenated,fused,1.3
CZTT-IC,9.83,CZTT-4F,9.77,4F,fluorinated,PBDB-T,nonhalogenated,fused,-0.06
CZTT-IC,7,CZTT-4F,12,4F,fluorinated,PM6,fluorinated,fused,5
ITIC,9.05,IT-4F,11.67,4F,fluorinated,PM6,fluorinated,fused,2.62
ITIC,9.05,IT-2Cl,13.03,2Cl opposite,chlorinated,PM6,fluorinated,fused,3.98
ITIC,9.05,IT-4Cl,12.39,4Cl,chlorinated,PM6,fluorinated,fused,3.34
ITIC,9.05,Br-ITIC,12.44,2Br opposite,brominated,PM6,fluorinated,fused,3.39
ITIC,9.05,a-ITIC-2Cl,11.98,2Cl same,chlorinated,PM6,fluorinated,fused,2.93
ITIC,9.05,ITIC-2F_aldrich,10.03,2F same,fluorinated,PM6,fluorinated,fused,0.98
ITIC,9.05,ITIC-3F,10.55,3F same,fluorinated,PM6,fluorinated,fused,1.5
ITIC,9.05,ITIC-6F,11.41,6F,fluorinated,PM6,fluorinated,fused,2.36
ITIC,8.37,F7IC,7.8,4F,fluorinated,FTAZ,fluorinated,fused,-0.57
ITIC,5.38,IT-4F,6.2,4F,fluorinated,J52,fluorinated,fused,0.82
ITIC,10.1,IT-4F,9.79,4F,fluorinated,J71,fluorinated,fused,-0.31
ITIC,10.1,Br-ITIC,11.99,2Br opposite,brominated,J71,fluorinated,fused,1.89
ITIC,6.92,IT-2F,12.59,4F,fluorinated,P2F-Ehp,fluorinated,fused,5.67
ITIC,6.92,IT-F,6.69,2F opposite,fluorinated,P2F-Ehp,fluorinated,fused,-0.23
ITIC,10.13,IT-4F,11,4F,fluorinated,PBDTS-TZNT,fluorinated,fused,0.87
FOR-IN,9.2,FOR-1F,12.3,2F opposite,fluorinated,PM6,fluorinated,fused,3.1
FOR-IN,9.2,FOR-2F,14.9,4F,fluorinated,PM6,fluorinated,fused,5.7
DTP-0F,9.5,DTP-1F,10.8,2F opposite,fluorinated,PM6,fluorinated,fused,1.3
DTP-0F,9.5,DTP-2F,10.1,4F,fluorinated,PM6,fluorinated,fused,0.6
ITIC,11.81,IT-4F,12.92,4F,fluorinated,PBDTSF-TZNT,fluorinated,fused,1.11
ITIC,7.05,IT-4F,8.73,4F,fluorinated,PDCBT-Cl,chlorinated,fused,1.68
ITIC,8.33,IT-4F,10.65,4F,fluorinated,PBCIT,F and Cl,fused,2.32
NTCPDTID,1.7,NTCPDT2F,2.8,4F,fluorinated,PBDB-T-2Cl,chlorinated,fused,1.1
H-ITIC,6.1,F-ITIC,8.3,2F opposite,fluorinated,PTPBDT,nonhalogenated,fused,2.2
H-ITIC,6.1,Br-ITIC,9.1,2Br opposite,brominated,PTPBDT,nonhalogenated,fused,3
H-ITIC,6.1,I-ITIC,8.3,2I opposite,iodated,PTPBDT,nonhalogenated,fused,2.2
H-ITIC,6.1,Cl-ITIC,9,2Cl opposite,chlorinated,PTPBDT,nonhalogenated,fused,2.9
ITIC,12.23,IT-4F,7.7,4F,fluorinated,J100,chlorinated,fused,-4.53
INPIC,4.26,INPIC-4F,11.36,4F ,fluorinated,PBDB-T,nonhalogenated,fused,7.1
INPIC,4.26,INPIC-2F,8.13,2F opposite,fluorinated,PBDB-T,nonhalogenated,fused,3.87
LA15,13.02,LA17,11.93,2F opposite,fluorinated,PM6,fluorinated,fused,-1.09
TPIC,12.9,TPIC-4Cl,15,4Cl,chlorinated,PBDB-T-2Cl,chlorinated,fused,2.1
IEIC,7.1,IE-4F,10.6,4F,fluorinated,PBDB-T,nonhalogenated,fused,3.5
IEIC,7.1,IE-4Cl,10.9,4Cl,chlorinated,PBDB-T,nonhalogenated,fused,3.8
IEIC,3.7,IE-4F,9.1,4F,fluorinated,PM6,fluorinated,fused,5.4
IEIC,3.7,IE-4Cl,9.5,4Cl,chlorinated,PM6,fluorinated,fused,5.8
FDICTF,9.7,F-F,10.67,2F opposite,fluorinated,PBDB-T,nonhalogenated,fused,0.97
FDICTF,9.7,F-Cl,11.26,2Cl opposite,chlorinated,PBDB-T,nonhalogenated,fused,1.56
FDICTF,9.7,F-Br,11.88,2Br opposite,brominated,PBDB-T,nonhalogenated,fused,2.18
FDICTF,9.7,F-2Cl,10.16,4Cl,chlorinated,PBDB-T,nonhalogenated,fused,0.46
F-H,9.81,F-2F,12.65,4F,fluorinated,PM6,fluorinated,fused,2.84
F-0Cl,5.17,F-1Cl,7.9,2Cl opposite,chlorinated,DRCN5T,nonhalogenated,fused,2.73
F-0Cl,5.17,F-2Cl,9.62,4Cl,chlorinated,DRCN5T,nonhalogenated,fused,4.45
TTIC,10.73,TTIC-F,9.38,2F opposite,fluorinated,PBDB-T,nonhalogenated,fused,-1.35
4TIC,9.9,4TIC-4F,7.05,4F,fluorinated,PTB7-Th,fluorinated,fused,-2.85
NFBDT,9.33,BDCPDT-FIC,8.12,4F,fluorinated,PBDB-T,nonhalogenated,fused,-1.21
IDIC,11.7,ID-4F,6.1,4F,fluorinated,PM6,fluorinated,fused,-5.6
IDIC,9.56,ID-4F,10.4,4F,fluorinated,H11,fluorinated,fused,0.84
IDTI,6.9,PI-4F,6.9,4F,fluorinated,PM6,fluorinated,fused,0
IDIC,5.21,F5IC,5.3,4F,fluorinated,FTAZ,fluorinated,fused,0.09
NTIC,8.5,NTIC-F,7.97,2F opposite,fluorinated,PBDB-T,nonhalogenated,fused,-0.53
IXIC,11.3,IXIC-4Cl,11.2,4Cl,chlorinated,PBDB-T,nonhalogenated,fused,-0.1
IXIC,11.3,IXIC-2Cl,12.2,2Cl opposite,chlorinated,PBDB-T,nonhalogenated,fused,0.9
6TIC,10.34,FOIC,11.15,2F opposite,fluorinated,PTB7-Th,fluorinated,fused,0.81
6TIC,10.34,TT-FIC,10.8,4F,fluorinated,PTB7-Th,fluorinated,fused,0.46
6TIC,10.34,3TT-CIC,11.69,4Cl ,chlorinated,PTB7-Th,fluorinated,fused,1.35
ITCPTC,12.04,ITC-2Cl,13.22,2Cl opposite,chlorinated,PM6,fluorinated,fused,1.18
BT-IC,8.3,BT-CIC,11,4Cl,chlorinated,PTB7-Th,fluorinated,fused,2.7
