F_don_name,F_don_ID,F_PCE,Cl_don_name,Cl_don_ID,Cl_PCE,NFA,NFA_type,don_monomer_label,difference
PM6,12,11.67,PBDB-T-2Cl,16,13.98,IT-4F,fluorinated,A,2.31
PBDB-T-SF,145,13.1,PBDB-TSCl,312,11.87,IT-4F,fluorinated,A,-1.23
PM6,12,15.6,PBDB-T-2Cl,16,16.56,Y6,fluorinated,A,0.96
PM6,12,9.2,PBDB-T-2Cl,16,8.7,ITCC-M,nonhalogenated,A,-0.5
PM6,12,11.1,PBDB-T-2Cl,16,11.3,ITCC-Cl,chlorinated,A,0.2
PM6,12,11.4,PBDB-T-2Cl,16,11.5,IDTT-M-2F,fluorinated,A,0.1
PM6,12,12.4,PBDB-T-2Cl,16,13.1,IDTT-Cl-2F,both,A,0.7
PM6,12,14.31,PBDB-T-2Cl,16,14.6,IDTP-4F,fluorinated,A,0.29
PM6,12,12.39,PBDB-T-2Cl,16,13.19,IT-4Cl,chlorinated,A,0.8
PM6,12,10.7,PBDB-T-2Cl,16,10.5,ITCC-Br,brominated,A,-0.2
PM6,12,12.1,PBDB-T-2Cl,16,11.4,IDTT-Br-2F,F_and_Br,A,-0.7
PM6,12,14.8,PBDB-T-2Cl,16,13.7,A4T-16,fluorinated,A,-1.1
PM6,12,12.3,PBDB-T-2Cl,16,12.4,IDT6CN-M,nonhalogenated,A,0.1
PCE10-2F,402,3.55,PBCIT,244,10.65,IT-4F,fluorinated,A,7.1
J71,49,10.1,J100,393,12.23,ITIC,nonhalogenated,C,2.13
J91,9,7.9,PBT4Cl-Bz,247,9.25,IT-4F,fluorinated,A,1.35
J71,49,9.79,J100,393,7.7,IT-4F,fluorinated,C,-2.09
J71-Cl,374,11.8,J101,403,11.1,IT-4F,fluorinated,C,-0.7
J71,49,12.86,J100,393,14.12,ZITI,fluorinated,C,1.26
J52-F,96,8.28,J52-Cl,10,7.16,BTA13,nonhalogenated,A,-1.12
J52-F,96,8.68,J52-Cl,10,10.43,BTA3,nonhalogenated,A,1.75
PClBDT-8ttTPD,255,10.64,PFBDT-8ttTPD,256,12.3,IT-4F,fluorinated,A,1.66
PClBDT-8ttTPD,255,9.62,PFBDT-8ttTPD,256,14.58,Y6,fluorinated,A,4.96
PBDT-F,14,14.93,PBDT-Cl,23,15.25,C6OB-F,fluorinated,A,0.32
D18,15,16.78,D18-Cl,73,17.23,Y6,fluorinated,A,0.45
D18,15,18.56,D18-Cl,73,16.36,N3,fluorinated,A,-2.2
D18,15,18.11,D18-Cl,73,17.66,L8-BO,fluorinated,A,-0.45
PDCBT-F,237,10.54,PDCBT-Cl,165,12.03,ITIC-Th1,fluorinated,thiophene,1.49
PDCBT-2F,236,8.23,PDCBT-2Cl,235,6.65,ITIC-Th1,fluorinated,thiophene,-1.58
BTEHR-FT,416,10.45,BTEHR-CT,188,10.81,F-2Cl,chlorinated,sm A,0.36
P-FT,413,10.02,P-CIT,259,10.64,Y6,fluorinated,A,0.62
P-FT,413,10.87,P-CIT,259,11.04,m-ITIC,nonhalogenated,A,0.17
H13,101,10.3,H14,103,12.1,IDIC-4F,fluorinated,sm A,1.8
PBDTTS-2FQx,154,12,PBDTTS-2ClQx,155,15.8,BTP-eC9,chlorinated,E,3.8
PBB-F,399,14.3,PBB-Cl,400,14.5,IT-4F,fluorinated,A,0.2
PvBDT-F,166,5.89,PvBDT-Cl,167,7.76,Y6-T,nonhalogenated,A,1.87
P2TB2T-F,201,3.53,P2TB2T-Cl,202,3.82,IT-4F,fluorinated,A,0.29
PtB2T-F,204,10.43,PTB2T-Cl,203,6.89,IT-4F,fluorinated,A,-3.54
PBTz-TF,225,14.53,PBTz-TCl,226,14.86,Y6,fluorinated,A,0.33
PNTzBDT-F,274,12.8,PNTzBDT-Cl,271,10,Y6,fluorinated,A,-2.8
PDBT-2F,391,10,PDBT-2Cl,389,5.6,IT-4F,fluorinated,other,-4.4
PDBT-F,390,9.6,PDBT-Cl,391,12.3,IT-4F,fluorinated,other,2.7
PBT-F,361,9.04,PBT-Cl,375,11.53,ITIC,nonhalogenated,A,2.49
