nonhalogenated_don_name,nonhalogenated_don_ID,nonhalogenated_PCE,halogenated_don_name,halogenated_don_ID,halogenated_PCE,halogenation_type,NFA,NFA_type,don_monomer_type,difference
PBDB-T,3,9.96,PM6,12,9.05,F,ITIC,nonhalogenated,A,-0.91
PBDB-T,3,9.96,PFBDB-T,44,11.5,F,ITIC,nonhalogenated,thiophene,1.54
PBDB-T,3,9.62,PM6,12,11.67,F,IT-4F,fluorinated,A,2.05
PBDB-T,3,9.62,PBDB-T-2Cl,16,13.98,Cl,IT-4F,fluorinated,A,4.36
PBDB-T,3,9.62,PCl(4)BDB-T,114,12.11,Cl,IT-4F,fluorinated,thiophene,2.49
PBDB-T,3,12.06,PM6,12,15.72,F,BTP-4Cl,chlorinated,A,3.66
PBDB-T,3,9.83,PM6,12,9.2,F,ITCC-M,nonhalogenated,A,-0.63
PBDB-T,3,9.83,PBDB-T-2Cl,16,8.7,Cl,ITCC-M,nonhalogenated,A,-1.13
PBDB-T,3,7.32,PBDB-T-2Cl,16,14.6,Cl,N2200,nonhalogenated,A,7.28
PBDB-T,3,7.1,PM6,12,3.7,F,IEIC,nonhalogenated,A,-3.4
PBDB-T,3,11.1,PM6,12,13.3,F,IT-M,nonhalogenated,A,2.2
PBDB-T,3,9.7,PM6,12,9.81,F,FDICTF,nonhalogenated,A,0.11
PBDB-T,3,10.1,PM6,12,11.7,F,IDIC,nonhalogenated,A,1.6
PBDB-T,3,5.92,PM6,12,6.9,F,IDTI,nonhalogenated,A,0.98
PBDB-T,3,9,PM6,12,12,F,IDTN,nonhalogenated,A,3
PBDB-T,3,11.9,PFBDB-T,44,12.4,F,C8-ITIC,nonhalogenated,thiophene,0.5
PBDB-T,3,10.99,PM6,12,12.04,F,ITCT,nonhalogenated,A,1.05
PBDB-T,3,9.1,PM6,12,12.39,F,IT-4Cl,chlorinated,A,3.29
PBDB-T,3,9.1,PBDB-T-2Cl,16,13.19,Cl,IT-4Cl,chlorinated,A,4.09
PBDB-T,3,11.5,PM6,12,11.87,F,NNBDT,nonhalogenated,A,0.37
PBDB-T,3,13.58,PM6,12,7.39,F,Y5,nonhalogenated,A,-6.19
PBDB-T,3,13.11,PM6,12,6.6,F,Y1,nonhalogenated,A,-6.51
PBDB-T,3,9.6,PM6,12,13.82,F,Y3,fluorinated,A,4.22
PBDB-T,3,13.34,PM6,12,12.88,F,PYT,fluorinated,A,-0.46
PBDB-T,3,10.7,PM6,12,12.2,F,IT-DOH,nonhalogenated,A,1.5
PBDB-T,3,9.04,PM6,12,10.13,F,PZ1,nonhalogenated,A,1.09
